Название,Рейтинг
Brandish,3.0
Project Gotham Racing 3,3.3
Ultima: Worlds of Adventure 2: Martian Dreams,3.7
Worlds of Ultima: The Savage Empire,4.3
Ultima VII Part Two: The Silver Seed,5.0
Ultima VII Part Two: Serpent Isle,4.0
STALCRAFT,3.5
Labyrinth of Galleria: The Moon Society,3.0
Barkhan,0.0
Ultima VII: Forge of Virtue,5.0
Ultima VI: The False Prophet,3.8
Ultima III: Exodus,3.9
Ultima II: The Revenge of the Enchantress,4.1
Ultima I: The First Age of Darkness,3.1
Ascend: Reborn,0.0
Prognostic,3.5
Cyberpunk 2077: Phantom Liberty,4.6
Crime Boss: Rockay City,3.0
Crash Team Rumble,2.8
Banishers: Ghosts of New Eden,0
Remnant II,3.9
Blue Protocol,0
Wayfinder,0.0
Immortals of Aveum,1.7
Earthblade,0
Ghostbusters: Rise of the Ghost Lord,0.0
Bayonetta Origins: Cereza and the Lost Demon,4.3
After Us,3.8
Viewfinder,4.1
Hellboy Web of Wyrd,3.5
Armored Core VI: Fires of Rubicon,4.1
Horizon Forbidden West: The Burning Shores,3.4
Toram Online,2.0
Black Idea,0.0
PERISH,2.5
Streets of Rogue 2,0
Santa's Gifts,0.0
StrayCatDoors2,0.0
Chrono Owl Studios,0.0
COGEN: Swords Flourish,0.0
Oceancatch,0.0
Nature,0.0
The Incredible Machine,3.9
Disney's Bonkers,2.0
Disney's Bonkers (Capcom),1.8
Blaster Master Boy,1.5
Blaster Master Zero 2,4.8
Blaster Master Zero,4.3
Blaster Master: Overdrive,3.0
Blaster Master: Blasting Again,3.0
Blaster Master: Enemy Below,3.0
Blaster Master 2,1.5
Tank Force,1.7
Tank Battalion,4.0
Battle City,4.3
Bahamut Lagoon,3.6
B.O.B.,2.5
Astyanax,3.4
Arabian Nights: Sabaku no Seirei-ō,0.5
"Animaniacs: Lights, Camera, Action!",3.0
Animaniacs: The Great Edgar Hunt,2.8
Animaniacs: A Gigantic Adventure,3.0
Animaniacs: Ten Pin Alley,3.0
Animaniacs,3.6
The Adventures of Musashi Jr.,3.6
Brave Fencer Musashi,3.0
Musashi: Samurai Legend,3.0
Alisia Dragoon,1.5
Alex Kidd in Shinobi World,0.5
Alex Kidd: High-Tech World,2.5
Alex Kidd BMX Trial,2.3
Alex Kidd: The Lost Stars,0.5
Alex Kidd in Miracle World,2.3
Alex Kidd in the Enchanted Castle,2.8
Zero the Kamikaze Squirrel,3.9
Aero the Acro-Bat 2,3.8
Aero the Acro-Bat,4.0
Adventures of Lolo 3,2.8
Adventures of Lolo 2,3.2
Adventures of Lolo,2.8
Adventure Island: The Beginning,1.0
Super Adventure Island II,1.0
Adventure Island IV,4.3
Adventure Island 3,3.8
New Adventure Island,3.0
Super Adventure Island,1.5
Adventure Island II,3.6
Adventure Island,3.5
The 7th Saga,0.5
Planet Laika,0.0
The Granstream Saga,3.3
Robotrek,3.0
ActRaiser 2,3.0
ActRaiser,2.5
Soul Blazer,4.0
Terranigma,3.0
Frogurai,0.0
A Maiden Astrologer Divines the Future,0.0
Summit,0.0
Naive Riri,0.0
Graze Counter GM,0.0
Splatter - Zombiecalypse Now,4.0
Relentless: Ranger,0.0
浮生箓2：九九行歌 Floating Life 2,0.0
Millennium Conflict,0
Don't Fraud My Heart!,0
Space Trucker (2023),0.0
Star Wars Battle Pod,1.0
Vader Immortal: A Star Wars VR Series,3.4
Star Wars: Lethal Alliance,2.9
Star Wars: Flight of the Falcon,2.5
Star Wars: Demolition,3.9
Star Wars Trilogy Arcade,4.5
Star Wars: Masters of Teräs Käsi,3.7
Star Wars: Droids,4.7
Star Wars: Jedi Arena,3.5
Star Wars: The Clone Wars – Jedi Alliance,3.6
Star Wars: The Clone Wars – Lightsaber Duels,2.7
Star Wars Battlefront: Mobile Squadrons,3.5
Star Wars Battlefront: Elite Squadron,4.0
Star Wars Battlefront: Renegade Squadron,3.6
Star Wars: The Old Republic - Legacy of the Sith,4.0
Star Wars: The Old Republic - Onslaught,4.2
Star Wars: The Old Republic - Knights of the Eternal Throne,3.9
Star Wars: The Old Republic - Shadow of Revan,3.8
Star Wars: Rogue Squadron III — Rebel Strike,2.1
Star Wars: Rogue Squadron II — Rogue Leader,3.0
Star Wars: Rebel Assault II: The Hidden Empire,3.5
Star Wars: Rebel Assault,3.4
Star Wars: X-Wing vs. TIE Fighter,3.5
Star Wars: TIE Fighter,3.3
Star Wars: The New Droid Army,1.8
Star Wars: Episode II – Attack of the Clones,1.8
Star Wars: Jedi Starfighter,2.7
Star Wars: Episode I - Obi-Wan's Adventures,1.8
Star Wars: Episode I - Jedi Power Battles,3.0
Super Star Wars: Return of the Jedi,3.7
Star Wars: Return of the Jedi,5.0
Star Wars: The Empire Strikes Back (2007),2.0
Super Star Wars: The Empire Strikes Back,2.8
Star Wars: The Empire Strikes Back (1992),3.3
Star Wars: The Empire Strikes Back (1985),3.5
Star Wars: The Empire Strikes Back (1982),3.5
Star Wars Arcade,3.5
Star Wars (1991),3.8
Star Wars: Attack on the Death Star,3.5
Star Wars (1987),4.8
Death Star Interceptor,5.0
Star Wars (1983),3.8
Hohenheim: Skywards,1.5
Occupy Mars: The Game,5.0
MechWarrior 5: Mercenaries - Rise of Rasalhague,4.0
Neptunia: Sisters VS Sisters,4.0
The Tower -To the Bottom-,0.0
Creature Lab,2.0
Lone Ruin,1.0
Gatewalkers,1.0
Cygnus Enterprises,0.0
Rev to Vertex,0.0
New Joe &amp; Mac - Caveman Ninja,2.1
"El Paso, Nightmare",0.0
Basement Of Hellish,0.0
Let’s School,3.9
OneShot,4.6
Amnesia: The Bunker,3.9
Robocop 2D 2: Robocop vs Terminator,3.0
RoboCop (2001),1.8
RoboCop Versus The Terminator,4.1
RoboCop 2,3.3
RoboCop (1988),3.5
Age of Mythology: Tale of the Dragon,3.2
Melatonin,4.2
Age of Empires: Mythologies,4.1
Starcom: Unknown Space,0.0
The Rumble Fish 2,0.0
In Nightmare,0.5
Paragon: The Overprime,3.2
Zombie Cure Lab,3.0
Divine Knockout,2.9
Swordship,3.5
Cafe Owner Simulator,5.0
Goonya Monster,0.0
Burnhouse Lane,4.0
Dwarven Skykeep,3.5
Age of Empires II DE: Dynasties of India,4.5
Age of Empires II DE: Dawn of the Dukes,4.3
Sunshine Shuffle,0.0
Impaler,3.5
Age of Empires II DE: Lords of the West,4.3
Age of Empires II HD: Rise of the Rajas,4.1
Age of Empires: The Age of Kings,3.6
Age of Empires II HD: The African Kingdoms,4.0
Nickelodeon Kart Racers 3: Slime Speedway,0.0
Teenage Mutant Ninja Turtles (2013),2.7
Teenage Mutant Ninja Turtles: Arcade Attack,3.0
Teenage Mutant Ninja Turtles: Smash-Up,2.9
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,3.2
Teenage Mutant Ninja Turtles: Tournament Fighters,3.8
Teenage Mutant Ninja Turtles III: Radical Rescue,3.9
Teenage Mutant Ninja Turtles III: The Manhattan Project,4.1
Teenage Mutant Ninja Turtles II: Back from the Sewers,3.8
Teenage Mutant Ninja Turtles: Manhattan Missions,4.4
Teenage Mutant Ninja Turtles: Fall of the Foot Clan,3.2
Teenage Mutant Ninja Turtles II: The Arcade Game,3.8
Teenage Mutant Ninja Turtles (1989),3.6
Spellbook Demonslayers,3.0
Nadir: A Grimdark Deckbuilder,2.8
Pathogenesis: Overcome,0.0
Space Wreck,0.0
Predecessor,4.3
Munchkin Digital,3.7
Samurai Maiden,2.2
Alterium Shift,0.0
Hatup,0.0
Far Cry 6: Lost Between Worlds,2.6
Two Point Campus: Space Academy,0.0
Blackwell Unbound,3.7
Кужлевка,4.0
The Settlers: New Allies,4.0
Starship Troopers: Extermination,3.2
171,0.0
Undead Horde 2: Necropolis,3.3
Clown Of Duty,0.0
Astronite,0.0
Colortone: Remixed,0.0
Front Mission 5: Scars of the War,4.1
Front Mission Alternative,3.0
Front Mission 2,3.3
Front Mission: Gun Hazard,3.5
Incredibox,3.8
Iris.Fall,3.1
Streets of Rage,4.2
The Simpsons Game,3.4
Cocoon,4.4
Morkredd,3.5
We Were Here Too,4.0
Front Mission,4.2
Teenage Mutant Ninja Turtles: Turtles In Time,4.1
Teenage Mutant Ninja Turtles: The Hyperstone Heist,4.3
Golden Axe III,4.2
Golden Axe: The Revenge of Death Adder,2.7
Golden Axe II,3.9
Lego Chess,2.3
Hard Corps: Uprising,4.2
Contra ReBirth,3.5
Contra 4,4.1
Contra: Shattered Soldier,3.9
C: The Contra Adventure,2.4
Contra: Legacy of War,1.8
Contra III: The Alien Wars,4.2
Operation C,4.0
Super Contra,4.3
Contra,4.2
Fighting Force,3.8
Echo Night: Beyond,3.4
Echo Night 2: The Lord of Nightmares,3.8
Echo Night,4.2
Pitfall: The Mayan Adventure,3.9
Super Pitfall,2.3
Pitfall II: Lost Caverns,3.6
Pitfall!,3.6
BioShock 2: Minerva's Den,4.0
Dead Cells: Fatal Falls,4.1
Dead Cells: Rise of the Giant,4.2
Perfect Dark Zero,3.8
Perfect Dark (2000),3.0
Lode Runner,3.6
Machine Gun Fury,0.0
MediEvil 2,3.9
Adam's Venture: Origins,2.5
Adam's Venture: Episode 3 - Revelations,3.5
Missile Command: Recharged,0.0
Sacrifice Your Friends,0.0
Paper Mario: Sticker Star,3.5
Super Paper Mario,3.6
Paper Mario: The Thousand-Year Door,3.6
Paper Mario,3.3
Rayman Raving Rabbids: TV Party,3.0
Rayman,3.7
Lost Soul Aside,0
Voyage,0.0
0 Day Attack on Earth,0.0
10 Miles To Safety,3.5
1979 Revolution: Black Friday,3.5
404Sight,4.0
A Game of Thrones: The Board Game - Digital Edition,4.0
A Long Way Down,0.0
A Pixel Story,0.0
A SECOND BEFORE US,0.0
A Wolf in Autumn,0.0
"About Love, Hate &amp; The Other Ones 2",0.0
Acaratus,0.0
The Uncertain: Light At The End,3.2
The Uncertain: Last Quiet Day,3.5
Melissa K. and the Heart of Gold,2.8
House of Caravan,2.0
Barrow Hill: The Dark Path,0.0
Driver 76,3.2
The City of Lost Children,3.8
Grandia: Parallel Trippers,3.0
Grandia III,3.7
Grandia,3.3
Xenoblade Chronicles 2: Torna – The Golden Country,4.7
Xenosaga: Episode III - Also sprach Zarathustra,3.8
Shadow Hearts,4.0
Medal of Honor (1999),4.2
Crysis Wars,3.4
Strange Cases: The Lighthouse Mystery,4.0
Mystery Case Files: 13th Skull,5.0
Hidden Mysteries: Salem Secrets,4.5
Легенды 4: Время пришло,3.0
Brain Challenge,4.5
The Room VR: A Dark Matter,3.3
The Room: Old Sins,4.4
Quest Room: Hanon,4.0
Nancy Drew: The Model Mysteries,0.0
Nancy Drew: The Hidden Staircase,0.0
Nancy Drew: The Mystery of the Clue Bender Society,0.0
Nancy Drew: The Deadly Secret of Olde World Park,0.0
Nancy Drew: Sea of Darkness,3.8
Nancy Drew: Labyrinth of Lies,3.6
Nancy Drew: The Shattered Medallion,3.4
Nancy Drew Dossier: Resorting to Danger!,2.9
Dangerous Dave: Dave Goes Nutz!,1.8
Dangerous Dave in the Haunted Mansion,3.6
Tom Clancy’s Ghost Recon: Shadow Wars,3.3
Tom Clancy’s Ghost Recon Wii,2.0
Tom Clancy's Ghost Recon: Predator,3.0
Tom Clancy's Ghost Recon: Jungle Storm,2.7
Trine 2: Goblin Menace,4.1
Drawn: Trail of Shadows,4.0
Drawn: Dark Flight,4.0
The Fall Trilogy,4.0
Left 4 Dead: The Sacrifice,4.1
Thinking with Time Machine,4.0
Portal Stories: Mel,4.2
Aperture Tag: The Paint Gun Testing Initiative,4.0
Portal 2: Sixense MotionPack,4.6
Portal: Prelude,4.1
Half-Life 2: Lost Coast,3.7
Aliens: Infestation,4.0
Aliens vs. Predator: Requiem,2.5
Predator: Concrete Jungle,3.3
Aliens: Thanatos Encounter,3.0
Alien vs Predator (1994),3.3
Alien 3: The Gun,3.3
Alien vs Predator,4.3
Alien 3,3.7
Predator 2,4.3
Aliens: Alien 2,4.5
Aliens: The Computer Game (1987),4.7
Aliens: The Computer Game (1986),5.0
Alien (1984),4.8
Alien (1982),4.2
Alien: Isolation - Last Survivor,3.7
Alien: Isolation - Crew Expendable,3.4
Call of Duty: Black Ops: Declassified,2.2
Call of Duty: Black Ops — Zombies,3.5
Call of Duty: World at War - Zombies,3.6
Call of Duty: World at War – Final Fronts,3.5
Call of Duty: Roads to Victory,3.5
Call of Duty 2: Big Red One,3.5
Скалолазка,2.8
Snowy: Treasure Hunter 3,3.4
Uncharted: Fortune Hunter,2.1
Uncharted: Fight for Fortune,1.3
StarCraft: Retribution,4.1
StarCraft: Insurrection,4.5
Cave Digger 2: Dig Harder,0.0
Prince of Persia: Epilogue,3.5
Prince of Persia: Escape,1.0
Prince of Persia: The Fallen King,3.0
Battles of Prince of Persia,3.3
Grand Theft Auto Online: The Criminal Enterprises,2.6
Grand Theft Auto Online: The Contract,3.1
Grand Theft Auto Online: Los Santos Tuners,2.7
Grand Theft Auto Online: The Cayo Perico Heist,2.7
Grand Theft Auto Online: Los Santos Summer Special,2.4
Grand Theft Auto Online: The Diamond Casino Heist,2.6
Grand Theft Auto Online: After Hours,2.5
Grand Theft Auto Online: The Doomsday Heist,2.7
Grand Theft Auto: Vice City Stories,3.8
Grand Theft Auto: Liberty City Stories,3.8
Grand Theft Auto Advance,2.5
Grand Theft Auto: London 1961,3.1
Silent Hill: Alchemilla,4.1
Silent Hill: The Escape,2.5
Silent Hill: Orphan,4.4
Silent Hill: Play Novel,4.2
Metal Gear Solid Mobile,2.8
Metal Gear Solid: Portable Ops,3.4
Metal Gear Acid 2,3.1
Metal Gear: Ghost Babel,3.3
Snake's Revenge,2.5
Metal Gear Solid: VR Missions,3.9
Metal Gear 2: Solid Snake,4.0
Hard Reset: Exile,3.4
Dino Crisis 2 Jungle Of Silence,4.3
Lunar Domination,0.0
Золушка: Непорочный сон,3.3
Попугай Кеша: Уроки внимательности и аккуратности,4.0
Band of Bugs,0.0
Безмолвие,3.3
Tonka: On the Job,5.0
Svetlograd,0.0
Zoo Vet: Endangered Animals,2.5
Barbie as The Island Princess,4.7
Sublustrum,4.3
Simulador Turismo Carretera,0.0
Turok (2008),3.7
R2: Reign of Revolution,2.2
Requiem: Bloodymare,3.5
U-WARS,0.0
RHEM 3,4.5
Ferrari Virtual Race,0.0
Empire of Sports,0.0
"7,62: Перезарядка",3.2
Worldwide Boxing Manager,3.0
Parhedros: The Tunnels of Sethir,0.0
Lauras Hundeschule,0.0
22 Hundespiele,3.0
Time of War,4.0
Затерянные острова,0.0
Кодекс войны: Высшая раса,4.2
Чукча в большом городе,3.4
Бой с тенью 2: Реванш,1.0
S.C.A.R.E.,3.6
Luxor 3,3.8
Space Ace HD,3.2
Rider's World Competition,0.0
"Алмазный меч, деревянный меч",3.6
GT-R 400,0.0
"Peanuts: It's The Big Game, Charlie Brown!",0.0
Leaderboard Golf,3.0
Dirty Dancing: The Videogame,5.0
Bionic Commando (2009),3.5
Xtreme Duck Hunting,0.0
Hoyle Puzzle &amp; Board Games (2008),3.0
Hoyle Casino (2008),3.0
Hoyle Card Games (2008),3.0
MotorM4X: Offroad Extreme,4.2
Zero Online,0.0
Monopoly by Parker Brothers,3.8
Адреналин 2: Анархия,4.1
Ночной смотрящий,4.5
Дилемма 2,2.8
World Series of Poker 2008: Battle for the Bracelets,3.0
Aces of the Galaxy,3.8
Hacker Evolution: Reinsertion,3.0
Gods War Online,0.0
Strategic Command 2: Weapons and Warfare,3.0
MixMaster Online,0.0
Nancy Drew: Legend of the Crystal Skull,4.2
GM Rally,3.1
Kabus 22,3.3
Build-a-lot,2.9
KingMania,0.0
Euro Truck Simulator,4.0
Monster Mega Mayhem,0.0
Handball Manager 2008,2.0
City Life 2008 Edition,4.0
Multiwinia: Survival of the Flattest,4.0
Microsoft Flight Simulator X: Acceleration,3.7
Europa Universalis: Rome,3.4
My Animal Center in Africa,3.0
Super City-Hero,3.0
Big Buck Hunter,2.5
8th Day,3.5
Path of Magic,2.0
Harmotion,3.0
Cosmic Rift,3.0
Пе-2: Пикирующий бомбардировщик,4.0
Русская рыбалка,2.7
Maximum-Football 2.0,2.0
Cricket Coach 2007,2.0
BMW M3 Challenge,3.5
Are You Smarter Than a 5th Grader?,0.0
Alan Hansen's Sports Challenge,1.0
Warmonger: Operation - Downtown Destruction,2.0
Warhammer 40.000: Dawn of War - Soulstorm,4.3
They Came from the Skies,0.0
MangaJongg,0.0
Space Strike,4.5
My Horse and Me,0.0
Secret Files 2: Puritas Cordis,4.1
Evochron Renegades,0.0
Kwari,4.5
Черная метка,3.1
Дорожные истории,0.0
Войны древности: Спарта. Судьба Эллады,3.7
Incubation: The Wilderness Missions,3.0
Илья Муромец и Соловей-разбойник,2.7
Penumbra: Black Plague,4.2
Dracula: The Days of Gore,4.3
Murder in the Abbey,3.5
SBK 08: Superbike World Championship,4.6
WR Rally,3.0
Chromadrome 2,3.0
Edge of Twilight – Return To Glory,2.3
Guitar Hero 3: Legends of Rock,4.4
A New Beginning,3.7
Kicks (2007),2.0
"Mach's noch einmal, Sven",2.5
День выборов,0.0
Story of Fairy Place,0.0
ArmA 2,4.1
Звездные волки 2: Гражданская война,4.1
Prison Tycoon 3: Lockdown,2.8
TINcan! Escape,3.5
Drift City,4.0
Монгол. Война Чингисхана,3.3
StuntMANIA!pro,0.0
Colossus Chess,0.0
Периметр 2: Новая Земля,3.5
F.E.A.R. 2: Project Origin,4.1
Fireteam Reloaded,3.0
Championship Manager 2008,4.1
Tasty Treats Adventures: The Secret Recipes,0.0
Armageddon Empires,4.0
Zeno Clash,3.7
Legends of Norrath,3.0
Ingenious,0.5
EverQuest: Secrets of Faydwer,3.8
Brass Hats,0.0
Великие битвы: Сталинград,4.0
FIFA Manager 08,3.7
Волшебник Изумрудного города: Урфин Джюс и его деревянные солдаты,2.0
I-Digger,2.5
7 Wonders 2,3.6
Runaway: A Twist of Fate,4.2
ArcaniA: Gothic 4,2.5
Полный привод 2: Hummer,3.6
Empire: Total War,4.2
Command &amp; Conquer 3: Kane's Wrath,4.3
Operation Flashpoint: Dragon Rising,3.5
Borderlands,3.9
Chessmaster: Grandmaster Edition,3.9
Black Prophecy,4.0
The Spiderwick Chronicles,3.5
Conflict: Denied Ops,2.5
Ramayan 3392,0.0
Warhammer: Mark of Chaos - Battle March,4.0
Mafia II,4.2
Galactic Civilizations 2: Twilight of the Arnor,4.0
Pro-Race: Запредельная скорость,0.0
Crystal Quest,3.0
Hornet Leader,0.0
Sledgehammer,3.5
World of Warcraft: Wrath of the Lich King,4.5
Rage,3.6
They,0.0
Democracy 2,0.0
Kung Fu Hustle,0.0
Crusader Kings: Deus Vult,3.1
Voltage,0.0
KwonHo: The Fist of Heroes,5.0
Operation: Alpha Zylon,1.5
Hunting Unlimited 2008,3.3
Agatha Christie: Death on the Nile,3.5
Asterix at the Olympic Games,3.9
Heroes: The Video Game,2.9
Crusaders: Thy Kingdom Come,3.4
Prototype (2009),3.8
Football Manager 2008,3.9
The Sims: Castaway Stories,4.1
LEGO Universe,3.7
LEGO Indiana Jones: The Original Adventures,4.0
Global Agenda,3.8
King of Clubs,0.0
Natural Selection 2,4.1
International Cricket Captain 3,1.5
Fever Frenzy,4.5
Как достать студента: Переполох в общаге,2.0
Penguins!,3.5
The Kill Point,2.0
Pirate's Revenge,0.0
Хроники Тарр: Стражи пограничья,4.0
Petanque: Le jeu du Centenaire,0.0
Moorhuhn: Heart of Tibet,3.5
Moorhuhn Kart 3,3.3
Moorhuhn: Juwel der Finsternis,3.7
Сфера. Перерождение,4.2
Travelogue 360: Rome - The Curse of the Necklace,2.5
Guns of August 1914-1918,4.0
The Scourge Project: Episodes 1 and 2,2.8
Yo-Jin-Bo,3.0
Ice-Cream Tycoon,3.0
German Classics GP,3.0
Trabi Racer,3.0
Gods: Lands of Infinity Special Edition,4.3
Global War on Terror: Death Strike,3.0
Underground Fighting,3.0
Animamundi: Dark Alchemist,4.0
Everyday Shooter,0.0
Ride! Carnival Tycoon,3.5
Depths of Peril,4.3
Defender of the Crown: Heroes Live Forever,3.8
Aurora: The Secret Within,4.0
Rugby 08,3.4
Spider-Man: Friend or Foe,3.2
Upshift StrikeRacer,4.0
Miss Popularity,2.8
The Chronicles of Narnia: Prince Caspian,3.1
Viva Pinata,3.9
Plant Tycoon,0.0
Crusaders: Invasion of Constantinople,3.6
RACE: Caterham,3.0
Пятачок в подводном царстве,3.3
Mirror's Edge,4.2
S.T.A.L.K.E.R.: Clear Sky,3.9
F.E.A.R. Perseus Mandate,3.8
Legendary,3.2
Disney's Chicken Little: Ace in Action,3.6
Dead or Alive Online,4.0
In the Groove,3.0
Painkiller: Overdose,3.4
Digital Paint: Paintball 2,5.0
Space Siege,3.5
Battlestrike: Force of Resistance,2.6
Art of Murder: FBI Confidential,3.5
War Wound,0.0
Travels of Marco Polo,0.0
Championship Horse Trainer,3.0
Thrillville: Off the Rails,4.0
Manga Fighter,2.3
Global Conflicts: Palestine,4.0
Battle Rage,0.0
In Cubation,3.5
Avernum 5,3.7
People's Tactics,3.0
Platypus 2,3.3
Sherlock Holmes: Nemesis,3.8
Rise of the Argonauts,3.7
Supreme Commander: Forged Alliance,4.4
flOw,3.9
Crazy Soccer Mundial,3.8
Advanced Tactics: World War II,5.0
Soldier of Fortune: Payback,3.3
Pet Vet 3D: Wild Animal Hospital,4.5
Bee Movie Game,3.6
Dracula 3: The Path of the Dragon,4.0
TAPA,0.0
Building World,0.0
За стеной 2: Иди ты... в армию!,3.8
Robert D. Anderson and the Legacy of Cthulhu,5.0
Piece of Wonder,3.0
Jumpgate Evolution,5.0
Casino VIP,3.0
French Classics GP,3.0
Cart Mania,0.0
NHL 08,3.8
Zu Online,5.0
FlatOut: Ultimate Carnage,4.3
Jeopardy! 2,0.0
Falling Stars,5.0
"Злой, плохой и трезвый",3.2
Cities Unlimited,0.0
John Tiller's Campaign Series,5.0
The Office,0.0
FIBA Basketball Manager 2008,2.5
Campus,0.0
Left Behind: Tribulation Forces,0.0
Video Strip Poker Classic 2007,0.0
Tiger Woods PGA Tour 08,4.0
ArmA: Queen's Gambit,3.9
Pro Evolution Soccer 2008,3.9
Star Assault,4.0
Age of Armor,3.0
Memento Mori,4.0
Lost Empire,0.0
Death Track: Resurrection,3.0
Mozart: The Last Secret,4.5
Петька 8: Покорение Рима,3.8
Провинциальный игрок 3,3.5
Project Torque,5.0
Wildlife Park 2: Crazy Zoo,2.5
Ship Simulator 2008,4.3
Как достать соседа: На отдыхе,2.9
Marine Sharpshooter 3,0.5
Dungeon Hero,5.0
Squad Battles: Sovet-Afghan War,4.5
Civil War Battles: Chickamauga,3.8
WorldShift,3.8
G.H.O.S.T. Hunters: The Haunting of Majesty Manor,2.5
Lunia: Record of Lunia War,0.0
Hydrophobia,3.3
"Детективное агентство ""Шустрый жучок"" 2: Дело о шпионках",3.5
P.P Hammer,2.5
Ricochet Infinity,4.0
Смерть шпионам: Момент истины,3.9
Nostradamus: The Last Prophecy,3.5
Alien FPS,0.0
Big Bang Beat: 1st Impression,0.0
DinoHunters,4.3
Speedball 2: Tournament,1.5
Total Pro Golf 2,0.0
Red Stone,0.0
Venus Redemption,0.0
Football Superstars,2.0
Darkness Within: In Pursuit of Loath Nolder,4.0
The Sims 2: Bon Voyage,4.2
American McGee's Grimm,3.0
LA Street Racing,3.8
Hollywood Mogul 3,4.0
Azur and Asmar,3.7
Alien Disco Safari,0.0
Air Battles: Sky Defender,0.0
Darkest of Days,3.3
FIFA 08,3.9
АвтоФэны: Заряженные скоростью,4.0
Вторая мировая. Издание второе,3.3
The Charlton's Fashion Academy,3.0
Panzer Campaigns: Budapest '45,4.0
Shattered Suns,0.0
2025: Битва за Родину,2.2
Tom Clancy's EndWar,3.8
Tuff Enuff,2.5
DBA Online,1.8
Zoo Tycoon 2: Extinct Animals,3.9
Freaks! Slammin' Traffic,3.0
Ride! Equestrian Simulation,0.0
ESR: European Street Racing,3.6
Need for Speed ProStreet,3.8
Mega Man X4,4.2
Sterling's Gift,3.0
Petz Vet,0.0
Samorost 2,4.1
TV Giant,0.0
The Rise of Atlantis,3.0
Reel Deal Card Games,2.5
RACE 07: Official WTCC Game,4.0
Puzzle Quest: Challenge of the Warlords,4.2
Sumotori Dreams,3.6
Last Chaos,4.0
Tennis Elbow 2006,3.0
Tennis Elbow Manager,0.0
Jutland (2007),0.0
Kudos: Rock Legend,3.1
StarCraft II: Wings of Liberty,4.6
Age of Empires III: The Asian Dynasties,4.2
Корсары: Город потерянных кораблей,4.4
Madden NFL 08,4.1
Civil War Battles: Campaign Atlanta,3.0
3D Ultra Minigolf Adventures,3.5
The Secret World,4.1
Final Fantasy XI: Wings of the Goddess,3.4
Extreme Motorbike Racing,3.0
Stargate Online Trading Card Game,3.0
Nethergate: Resurrection,4.3
The Club,3.2
The Sims: Pet Stories,3.8
Cabal Online,3.3
EverQuest 2: Rise of Kunark,4.0
Project Witches,0.0
Аркадные гонки: Круши всех!,0.0
NBA Live 08,4.1
Золотая Орда,3.1
LEGO Batman: The Videogame,3.9
Ex Machina: Arcade,2.9
Luxor 2,3.6
Darkwind: War on Wheels,0.0
Burger Island,1.5
Exocubes,0.0
Hacker Evolution,3.5
Вторая мировая: Военная игра,0.0
"Архивы НКВД: Охота на фюрера. Операция ""Валькирия""",3.6
Test Drive Unlimited 2,3.9
Europa Universalis 3: Napoleon's Ambition,4.2
Правда о девятой роте,2.9
Mata Hari,3.4
Need for Russia: Greatest Cars from CCCP,1.5
Metin2,4.4
Pro Cycling Manager Season 2007,3.2
International Tennis Pro,0.0
Isabell Werth Reitsport,2.5
Game Over!,0.0
Deadly Rooms of Death: The City Beneath,4.0
Blazing Angels 2: Secret Missions of WWII,3.8
Kidz Sports International Football,3.0
Phantasy Star Universe: Ambition of the Illuminus,3.9
Deprived,0.0
Beauty Factory,0.0
Нямстеры!,3.2
Сказки про Тошечку и Бошечку,4.0
Пчела Майя: Термитник в опасности,2.5
The Hell in Vietnam,2.3
Race Driver: GRID,4.5
WWI: Aces of the Sky,3.0
Особенности национального развода,3.0
Football Manager Live,3.0
Dragon Ball Online,2.5
Rumble Fighter,4.5
Premier Manager 08,3.5
Космические рейнджеры 2: Доминаторы. Перезагрузка,4.7
Numen: Contest of Heroes,2.5
Mars Miner,0.0
X-Team,0.0
Obscure 2,3.9
Московские уличные гонки,1.5
Lost Planet: Extreme Condition,3.8
World Poker Championship 2: Final Table Showdown,3.0
Dimensity,0.0
TV Station Manager,0.0
United Football,3.5
Super Puzzle Fighter 2 Turbo HD Remix,0.0
Travelogue 360: Paris,2.0
Nancy Drew: The White Wolf of Icicle Creek,4.2
Антинаркомания,3.1
Боец спецназа ФСКН России,2.1
Великие битвы: Высадка в Нормандии,3.0
Neverwinter Nights 2: Mask of the Betrayer,4.4
Ghost in the Sheet,3.5
Galactrix,0.0
Battlestrike: Secret Weapons,4.0
Baseball Mogul 2008,2.0
The Saboteur (2009),3.9
Dracula: Origin,4.0
Aquadelic GT,3.5
Агенты безопасной национальности,3.3
Heroes of Might and Magic 5: Tribes of the East,4.5
John Deere: North American Farmer,3.0
Front Office Football 2007,3.0
Company of Heroes: Opposing Fronts,4.3
Shrek The Third,3.4
В тылу врага 2: Братья по оружию,4.2
Moorhuhn Kart 2,3.8
AGON: The Lost Sword of Toledo,3.5
Arena Wars Reloaded,4.3
EverQuest: The Buried Sea,3.6
Guild Wars: Eye of the North,4.2
Space Force: Captains,2.5
The Snow Queen's Quest,0.0
Medieval 2: Total War - Kingdoms,4.5
Тургор,4.2
Tales of Pirates,3.0
Meet the Robinsons,3.7
Sid Meier's Civilization IV: Beyond the Sword,4.5
Боец СОБР,2.2
Anno 1701: The Sunken Dragon,4.1
Fetch!,3.0
Agatha Christie: Evil Under the Sun,3.7
